URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/event/art/ogdens-community-art-show/75633/",73,63,83,54,92,3039.37,25811.42,0,57,7,7080.32,0,0,1,1,0,0,1,1,1
"/event/art/open-studio-2026/75877/",78,65,83,73,92,3037.17,16050.58,0,115,84,5248.34,0,0,1,1,0,0,1,1,1
"/event/art/pressed-flowers-in-hanging-glass-class/77958/",73,63,83,54,92,2738.95,26658.9,0,54,5,7816.75,0,0,1,1,0,0,1,1,1
"/event/art/sample-ceramics-mixed-level/75250/",79,69,83,73,92,2739.46,12868.56,0,52,1,3921.42,0,0,1,1,0,0,1,1,1
"/event/art/simple-treasures-mothers-day-boutique/77129/",78,66,83,73,92,3038.55,15746.44,0,54,4,5300.35,0,0,1,1,0,0,1,1,1
"/event/art/soft-%26-stylish%3a-make-your-own-felted-scarf/77934/",73,64,83,54,92,2739.39,27962,0,54,4,7352.68,0,0,1,1,0,0,1,1,1
"/event/art/sol-lewitt%3a-wall-drawing-no-309/69441/",73,64,83,54,92,2586.76,26851.94,0,58,11,8019.23,0,0,1,1,0,0,1,1,1
"/event/art/south-salt-lake-mural-fest-2026/77822/",78,66,83,73,92,3661.77,13343.86,0,53,3,4298.57,0,0,1,1,0,0,1,1,1
"/event/art/taming-emotions-through-art%3a-aatmica-ojha/76004/",73,63,83,54,92,2741.15,21743.19,0,104,67,7716.22,0,0,1,1,0,0,1,1,1
"/event/art/the-18th-annual-craft-lake-city-diy-festival-presented-by-harmons/77115/",73,64,83,54,92,2741.05,26937.56,0,98,55,7480.96,0,0,1,1,0,0,1,1,1
"/event/art/the-23rd-multicultural-dance-and-arts-festival/76223/",74,65,83,54,92,2738.83,26045.3,0,55,5,6666.75,0,0,1,1,0,0,1,1,1
"/event/art/the-american-mosaic%3a-regional-art-%26-performance-showcase/78018/",73,62,83,54,92,3038.94,27568.97,0,55,5,8423.45,0,0,1,1,0,0,1,1,1
"/event/art/third-saturday-for-families%3a-leather-bracelets/77736/",73,63,83,54,92,2738.63,22662.83,0,54,4,8358.99,0,0,1,1,0,0,1,1,1
"/event/art/transformaci%c3%b3n-cultural-panel-discussion/77687/",73,62,83,54,92,2739.2,28028,0,56,8,10132.61,0,0,1,1,0,0,1,1,1
"/event/art/transgender-celebration-show-2026-by-various-artists/77541/",73,63,83,54,92,2738.96,28081.07,0,53,3,8653.87,0,0,1,1,0,0,1,1,1
"/event/art/voices-%26-votes-smithsonian-traveling-exhibit-at-the-moab-arts-center/74618/",73,63,83,54,92,2739.88,28200.05,0,60,10,8181.66,0,0,1,1,0,0,1,1,1
"/event/art/watercolor-explorations/76798/",72,60,83,54,92,3340.09,30412.59,0,58,8,10208.96,0,0,1,1,0,0,1,1,1
"/event/art/watercolor-workshop%3a-painting-the-western-hercules-beetle-with-heath-ogden/78010/",73,63,83,54,92,3039.83,25552.08,0.01,60,10,7191.34,0,0,1,1,0,0,1,1,1
"/event/art/watercolor%3a-beginning/74853/",73,64,83,54,92,3039.24,27240.75,0,54,4,6116.35,0,0,1,1,0,0,1,1,1
"/event/art/watercolor%3a-beginning/75218/",73,63,83,54,92,3037.63,22087.87,0,52,2,7299.83,0,0,1,1,0,0,1,1,1
"/event/art/wheel-try-it/75780/",73,63,83,54,92,2740.12,22715.17,0,57,7,7547.04,0,0,1,1,0,0,1,1,1
"/event/atha-2026-convention/conventions_44935/",73,62,83,54,92,2899.25,18252.03,0,44,0,8502.65,0,0,1,1,0,0,1,1,1
"/event/best-friends-animal-society-national-conference-2026/conventions_40948/",73,62,79,58,92,2888.99,19693.58,0,50,0,8292.78,0,0,1,1,1,0,1,1,1
"/event/best-friends-super-adoption/76989/",73,63,83,54,92,2739.77,20743.6,0.04,50,0,7636.19,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/2026-getting-to-know-your-soil/77945/",73,62,83,54,92,2740.08,27462.67,0,58,8,8721.85,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/2026-growing-great-peppers/77935/",73,62,83,54,92,3041.44,27698.13,0.02,58,8,8243.79,0,0,1,1,0,0,1,1,1
"/event/classes-and-workshops/ancestral-healing%3a-a-guided-introduction-to-rooted-connection-%26-wholeness/77480/",74,65,83,54,92,2742.57,28230.25,0,53,3,6587.45,0,0,1,1,0,0,1,1,1
