"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.visitsaltlake.com/south-valley/sandy/shopping/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/about-us/brand-guidelines/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/adventure-sports/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/event/hannah-berner%3A-none-of-my-business-tour/74043/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.visitsaltlake.com/blog/stories/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/italian/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/recreation-centers/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/where-to-eat-in-salt-lake/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/historic-sites/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/restaurants/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/midvalley/south-salt-lake/hotels-lodging/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/bed-breakfasts-inns/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/hotels-lodging/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/blog/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-quick-guide-to-fun-in-salt-lake/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/shopping/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lodging-near-alta-ski-area/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/hotels-lodging/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-lift-tickets-and-passes/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/super-pass-hotels/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/nightlife-entertainment/social-activities/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/events/annual-events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/restaurants/","text/html; charset=utf-8","200","OK","Indexable",""
