"Address","Errors","Warnings","Rich Result Errors","Rich Result Warnings","Rich Result Features","Feature-1","Total Types","Unique Types","Type-1","Indexability","Indexability Status"
"https://www.visitsaltlake.com/salt-lake-city/airport-fairgrounds/events/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/wellness/yoga/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/bars/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-trail-map/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/olympic-venues/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/press-research/awards-rankings/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/buffet/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/shopping/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/gifts-clothing-retail/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/accessibility/wheelchair-accessible-businesses/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/bars/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/must-do/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/neighborhoods/5bce088111f2ef203ebcaf45/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/shopping/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/pho-vietnamese/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/where-the-locals-go/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/fishing-wildlife/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/members/member-events/member-portal-trainings/","0","0","0","0","0","","0","0","","Non-Indexable","noindex"
"https://www.visitsaltlake.com/west-valley/events/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/restaurants/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/packages-deals/discount-passport/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hotels/luxury/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/events/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/romantic-getaway/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/restaurants/coffee-shops/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/genealogy/familysearch-library/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/restaurants/food-trucks/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/west-valley/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/about-us/sponsorship-request/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/brighton-resort/brighton-ski-passes-lift-tickets/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/events/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/members/member-events/quarterly-luncheons/","0","0","0","0","0","","0","0","","Non-Indexable","noindex"
"https://www.visitsaltlake.com/restaurants/cuisine-types/bbq/","0","0","0","0","0","","0","0","","Indexable",""
