"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.visitsaltlake.com/neighborhoods/southwest-valley/","0","","","","https://www.visitsaltlake.com/neighborhoods/southwest-valley/","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/pacific-islander/","0","","","","https://www.visitsaltlake.com/plan-your-visit/community-diversity/pacific-islander/","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/indian/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/events/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/south-valley/sandy/shopping/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/about-us/brand-guidelines/","0","","","","https://www.visitsaltlake.com/about-us/brand-guidelines/","","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/","0","","","","https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/adventure-sports/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/events/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/blog/stories/","0","","","","https://www.visitsaltlake.com/blog/stories/","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/italian/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/recreation-centers/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/where-to-eat-in-salt-lake/","0","","","","https://www.visitsaltlake.com/blog/stories/post/where-to-eat-in-salt-lake/","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/historic-sites/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/events/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/common/virtuals/css/custom_core_styles.css","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/","0","","","","https://www.visitsaltlake.com/salt-lake-city/downtown/","","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/restaurants/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/midvalley/south-salt-lake/hotels-lodging/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/bed-breakfasts-inns/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/hotels-lodging/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/blog/","0","","","","https://www.visitsaltlake.com/blog/","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-quick-guide-to-fun-in-salt-lake/","0","","","","https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-quick-guide-to-fun-in-salt-lake/","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/shopping/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lodging-near-alta-ski-area/","0","","","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lodging-near-alta-ski-area/","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/hotels-lodging/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/","0","","","","https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-lift-tickets-and-passes/","0","","","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-lift-tickets-and-passes/","","Indexable",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/ab_testing/virtuals/css/shared.css","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/super-pass-hotels/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/nightlife-entertainment/social-activities/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/dynamic_content/virtuals/css/shared.css","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/events/annual-events/","0","","","","https://www.visitsaltlake.com/events/annual-events/","","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/events/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/restaurants/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","1","noindex","","","https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","","Non-Indexable","noindex"
