"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://www.visitsaltlake.com/events/festivals-special-events/","1","Festivals & Special Events in Salt Lake","39","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/","1","Planning your Salt Lake trip.","29","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/amusement-parks-water-parks/","1","Salt Lake City Water Parks & Theme Parks","40","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/vegan-vegetarian/","1","Vegan / Vegetarian","18","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/snow-reports-conditions/","1","Snow Reports & Current Conditions","33","","0","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/hotels-lodging/","1","Big Cottonwood Hotels & Lodging","31","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/city-local-parks/","1","Parks","5","","0","Indexable",""
"https://www.visitsaltlake.com/events/sports-outdoors/","1","Sports & Outdoor Events in Salt Lake","36","","0","Indexable",""
"https://www.visitsaltlake.com/events/kids-families/","1","Family & Kid-friendly Events in Salt Lake","41","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/tours-experiences/guided-tours-services/","1","Salt Lake City Guided Tours & Services","38","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/","1","Shopping in Salt Lake","21","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/romantic/","1","Romantic","8","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/airport-fairgrounds/events/","1","Airport / Fairgrounds Events","28","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/wellness/yoga/","1","Yoga","4","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/bars/","1","Downtown Bars & Nightlife","25","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-trail-map/","1","Snowbird Trail Map","18","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/olympic-venues/","1","Salt Lake City Olympic Venues","29","","0","Indexable",""
"https://www.visitsaltlake.com/press-research/awards-rankings/","1","Recent Awards & Rankings","24","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/buffet/","1","Buffet","6","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/shopping/","1","Downtown Shopping","17","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/gifts-clothing-retail/","1","Gifts, Clothing & Retail","24","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/accessibility/wheelchair-accessible-businesses/","1","Businesses with Accessibility","29","","0","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/","2","Big Cottonwood Canyon","21","Big Cottonwood Neighborhood map","31","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/","2","Avenues / Capitol Hill","22","Avenues / Capitol Hill Neighborhood map","39","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/bars/","1","Little Cottonwood Bars & Nightlife","34","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/must-do/","1","How to Make Sure You Have a Good Time in Salt Lake","50","","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/neighborhoods/5bce088111f2ef203ebcaf45/","1","Category: Neighborhoods","23","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/shopping/","1","Central City Shopping","21","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/pho-vietnamese/","1","Pho & Vietnamese","16","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/where-the-locals-go/","1","Where the Locals Go Itinerary","29","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/fishing-wildlife/","1","Fishing & Wildlife","18","","0","Indexable",""
"https://www.visitsaltlake.com/members/member-events/member-portal-trainings/","1","Mastering the Partner Portal","28","","0","Non-Indexable","noindex"
"https://www.visitsaltlake.com/west-valley/events/","1","West Valley Events","18","","0","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/restaurants/","1","Big Cottonwood Restaurants","26","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/packages-deals/discount-passport/","1","Salt Lake Discount Passport","27","","0","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hotels/luxury/","1","Luxury","6","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/events/","1","University / Foothill Events","28","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/romantic-getaway/","1","Romantic Getaway","16","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/coffee-shops/","1","Salt Lake’s ‘Java Juice’ (a.k.a. Coffee)","40","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/genealogy/familysearch-library/","1","FamilySearch Library","20","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/food-trucks/","1","Mobile Food Trucks","18","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/","2","Sugar House","11","Map of Salt Lake county with Salt Lake City highlighted and Sugar House area also highlighted","93","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/west-valley/","2","West Valley","11","Map of Salt Lake County with West valley area highlighted in Green","66","Indexable",""
"https://www.visitsaltlake.com/about-us/sponsorship-request/","1","Visit Salt Lake Sponsorship Request","35","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/brighton-resort/brighton-ski-passes-lift-tickets/","1","Lift Tickets and Ski Passes for Brighton","40","","0","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/events/","1","Southwest Valley Events","23","","0","Indexable",""
"https://www.visitsaltlake.com/members/member-events/quarterly-luncheons/","1","Quarterly Luncheons","19","","0","Non-Indexable","noindex"
