"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-quick-guide-to-fun-in-salt-lake/","1","Not sure where to start your exploration of Salt Lake City or maybe you're looking for that hidden gem? Check out our guide to must-see attractions!","148","909","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/shopping/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lodging-near-alta-ski-area/","1","Discover top lodging near Alta Ski Area. Find hotels, chalets, restaurants and mountain stays for your ski vacation in Utah’s Wasatch Mountains.","144","888","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/hotels-lodging/","1","Sugar House hotels offer comfort and convenience when it comes to lodging on your trip. Explore the options and find your home away from home here.","147","936","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/","1","Our guide to the best restaurants, bars, and lodging in Little Cottonwood Canyon — home to Alta and Snowbird ski resorts — only 25 miles from downtown SLC.","155","982","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-lift-tickets-and-passes/","1","Purchase Snowbird lift tickets and passes for your ski trip. Enjoy world-class slopes and flexible ticket options at Utah’s Snowbird Resort.","140","841","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/super-pass-hotels/","1","Get more out of your stay with the Salt Lake Ski Super Pass. These Salt Lake City hotels have partnered with Visit Salt Lake to conveniently carry the pass.","156","946","Indexable",""
"https://www.visitsaltlake.com/things-to-do/nightlife-entertainment/social-activities/","1","Find something to do that's beyond the expected. From cooking classes to scavenger hunts, discover activities in Salt Lake City that can be enjoyed as a group.","159","977","Indexable",""
"https://www.visitsaltlake.com/events/annual-events/","1","Learn more about Salt Lake City's annual events and festivals - from the Sundance Film Festival to the Utah State Fair. Plan your trip to Salt Lake City...","155","927","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/events/","1","Planning a trip to Midvale, Utah? Whether you're exploring downtown or a neighboring town, check out our list of events, festivals and farmers markets.","151","930","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/restaurants/","1","Murray and Holladay are home to some of the best restaurants in Salt Lake. Enjoy delicious Italian food at Tuscany or grab some Southern Food from Pig in a Jelly Jar","165","1023","Indexable",""
"https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","0","","0","0","Non-Indexable","noindex"
"https://www.visitsaltlake.com/things-to-do/shopping/farmers-markets/","1","View a list of Salt Lake City farmers' markets and browse a variety of handmade goods and locally-grown produce. Find locations and schedule information.","153","959","Indexable",""
"https://www.visitsaltlake.com/film/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/japanese/","1","Enjoy fresh sushi and authentic Japanese food in the heart of Salt Lake City, Utah! Explore traditional flavors and contemporary takes on old favorites.","152","926","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/","1","Discover the community of Midvale, Utah, just outside of Salt Lake City. Find things to do, hotels, events, unique communities and exciting restaurants.","152","924","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/resorts/","1","The Salt Lake City area has many ski resorts and mountain lodges depending how close or far you want to stay to the city. View details, reviews and maps.","153","950","Indexable",""
