"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/super-pass-hotels/","1","Salt Lake Ski Super Pass | Find Partner Hotels","46","409","Indexable",""
"https://www.visitsaltlake.com/things-to-do/nightlife-entertainment/social-activities/","1","Social Activities in Salt Lake City | Things to Do with Friends","63","531","Indexable",""
"https://www.visitsaltlake.com/events/annual-events/","1","Salt Lake City Annual Events | Sundance, X-DANCE & More","55","517","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/events/","1","Things to Do in Midvale, Utah | Events & Festivals","50","436","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/restaurants/","1","Restaurants in Murray and Holladay | Mexican, Sushi, Thai","57","512","Indexable",""
"https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","1","Thank You","9","94","Non-Indexable","noindex"
"https://www.visitsaltlake.com/things-to-do/shopping/farmers-markets/","1","Salt Lake City Farmers Markets | Local Produce & Goods","54","501","Indexable",""
"https://www.visitsaltlake.com/film/","1","Film","4","39","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/japanese/","1","Japanese Restaurants in Salt Lake City | International Cuisine","62","547","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/","1","Welcome to Midvale, UT | Things to Do, Dining & Shopping","56","513","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/resorts/","1","Salt Lake City Ski & Mountain Resorts | Maps & Reviews","54","493","Indexable",""
"https://www.visitsaltlake.com/press-research/photos-videos/","1","Photos and Videos of Salt Lake | Media Gallery & Library","56","498","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/spring-festivals-in-salt-lake/","1","Celebrate spring in style with these Salt Lake festivals","56","482","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/downtown-salt-lake/","1","Downtown Salt Lake","18","182","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/salt-lake-and-beyond/","1","Salt Lake and Beyond","20","191","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/","1","Holladay & Murray | Neighborhoods in Salt Lake City, UT","55","493","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/bars/","1","Southwest Valley Bars","21","199","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lift-tickets-and-passes-for-alta/","1","Alta Ski Area Lift Tickets & Passes | Plan Your Ski Trip","56","480","Indexable",""
"https://www.visitsaltlake.com/events/festivals-special-events/","1","Festivals & Special Events in Salt Lake City, Utah","50","431","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/","1","Salt Lake Planning Tools | Vacation Planning Guide","50","454","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/amusement-parks-water-parks/","1","Salt Lake City Theme Parks & Water Parks | Visit Salt Lake","58","521","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/vegan-vegetarian/","1","Vegetarian & Vegan Restaurants in Salt Lake City, UT","52","472","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/snow-reports-conditions/","1","Salt Lake City Snow Reports | Alta, Brighton, Solitude & Snowbird","65","572","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/hotels-lodging/","1","Big Cottonwood Hotels & Lodging","31","297","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/city-local-parks/","1","Salt Lake City Parks | Things to Do in Salt Lake City","53","453","Indexable",""
"https://www.visitsaltlake.com/events/sports-outdoors/","1","Sports and Outdoor Events in Salt Lake City, Utah","49","437","Indexable",""
"https://www.visitsaltlake.com/events/kids-families/","1","Family Fun & Kids Attractions | Things to Do in Salt Lake City","62","537","Indexable",""
"https://www.visitsaltlake.com/things-to-do/tours-experiences/guided-tours-services/","1","Salt Lake City Guided Tours | Things to Do in Salt Lake City","60","521","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/","1","Shopping in Salt Lake | Visit Salt Lake","39","335","Indexable",""
"https://www.visitsaltlake.com/restaurants/romantic/","1","Romantic","8","85","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/airport-fairgrounds/events/","1","Airport / Fairgrounds Events","28","250","Indexable",""
"https://www.visitsaltlake.com/things-to-do/wellness/yoga/","1","Yoga In Salt Lake City, Utah | Studios & Classes","48","418","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/bars/","1","Downtown Salt Lake City Nightlife | Bars in Downtown SLC","56","518","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-trail-map/","1","Snowbird Ski Trail Maps | Ski City","34","295","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/olympic-venues/","1","Salt Lake City Olympic Attractions & Facilities","47","405","Indexable",""
"https://www.visitsaltlake.com/press-research/awards-rankings/","1","Awards & Rankings","17","170","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/buffet/","1","Salt Lake City, UT Buffets | Breakfast, Lunch & Dinner","54","470","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/shopping/","1","Shopping in Downtown Salt Lake City | Malls & Specialty Shops in SLC","68","618","Indexable",""
"https://www.visitsaltlake.com/things-to-do/shopping/gifts-clothing-retail/","1","Gift Shopping Options in Salt Lake City & Salt Lake County","58","515","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/accessibility/wheelchair-accessible-businesses/","1","Wheelchair Accessible Businesses in Salt Lake","45","416","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/big-cottonwood/","1","Big Cottonwood Canyon [Restaurants, Bars, Lodging, Things to Do]","64","585","Indexable",""
